每周学习时长（小时）,专业,性别,期中考试分数,期末考试分数,上课出勤率
21.56,人工智能,女,59.16,66.53,93.0
31.43,人工智能,男,100.0,100.0,94.0
32.81,工商管理,男,81.58,85.96,93.0
23.69,人工智能,女,58.09,56.71,61.0
24.22,人工智能,女,77.06,65.38,80.0
37.8,工商管理,女,88.53,95.33,98.0
22.63,人工智能,女,87.99,76.58,71.0
6.58,电子商务,男,63.06,66.23,69.0
12.31,人工智能,女,80.43,78.01,97.0
28.11,大数据管理,男,74.23,74.44,73.0
17.49,电子商务,女,76.17,68.24,95.0
18.29,工商管理,男,74.46,61.42,84.0
27.84,电子商务,男,80.92,78.23,94.0
17.4,大数据管理,男,82.39,80.52,84.0
23.96,电子商务,女,68.51,71.74,66.0
33.47,人工智能,女,75.92,71.96,89.0
21.0,工商管理,女,70.3,70.94,70.0
10.11,工商管理,女,72.25,70.38,74.0
38.43,财务管理,男,75.67,78.2,83.0
28.13,人工智能,女,85.8,81.18,66.0
16.64,人工智能,男,64.43,66.37,95.0
16.87,人工智能,男,82.27,65.41,81.0
29.22,电子商务,男,66.07,74.98,93.0
25.8,人工智能,女,47.74,67.99,98.0
28.31,人工智能,男,82.96,84.54,62.0
12.05,工商管理,男,68.14,72.33,70.0
28.98,财务管理,女,77.41,65.96,63.0
21.35,财务管理,女,97.03,79.5,94.0
18.84,大数据管理,男,52.22,62.0,71.0
28.08,工商管理,女,75.14,78.5,77.0
23.87,工商管理,女,71.26,75.71,85.0
23.9,财务管理,女,65.94,90.94,93.0
25.9,工商管理,女,61.74,70.76,70.0
22.86,财务管理,男,88.34,91.22,99.0
17.75,财务管理,女,84.28,85.24,95.0
8.25,工商管理,男,79.03,71.64,75.0
15.45,财务管理,男,100.0,79.84,89.0
8.86,工商管理,男,82.66,77.27,65.0
24.38,人工智能,女,46.87,52.39,77.0
9.71,工商管理,女,80.7,65.9,81.0
22.37,财务管理,男,80.78,72.74,92.0
12.29,工商管理,女,87.21,71.54,69.0
27.09,大数据管理,女,70.26,91.6,75.0
5.87,财务管理,女,98.21,73.21,68.0
20.16,财务管理,女,71.96,77.12,98.0
19.75,人工智能,男,100.0,75.0,77.0
32.15,人工智能,男,78.83,78.56,88.0
24.8,工商管理,女,60.62,78.15,88.0
18.86,工商管理,男,100.0,86.11,94.0
13.54,人工智能,男,94.11,70.73,86.0
27.34,工商管理,男,97.36,83.79,81.0
16.3,工商管理,男,78.96,77.73,64.0
24.97,大数据管理,女,65.61,64.26,80.0
16.16,电子商务,男,59.07,63.73,78.0
27.68,电子商务,女,80.9,79.84,90.0
17.64,工商管理,女,84.95,67.53,61.0
15.72,财务管理,男,65.63,86.01,96.0
13.49,人工智能,女,79.71,79.37,82.0
7.45,人工智能,男,99.21,74.21,95.0
13.71,人工智能,女,100.0,84.32,90.0
7.17,财务管理,女,87.31,66.39,98.0
26.87,电子商务,男,84.6,87.17,73.0
13.31,电子商务,女,68.45,58.07,75.0
15.94,工商管理,女,89.79,79.69,92.0
29.07,人工智能,男,87.12,88.7,90.0
30.42,工商管理,男,94.41,93.43,93.0
23.19,人工智能,女,81.96,64.78,67.0
19.9,电子商务,男,57.64,63.47,89.0
14.93,大数据管理,女,63.19,60.21,94.0
27.04,大数据管理,女,79.45,72.77,83.0
31.93,财务管理,男,87.96,97.65,88.0
23.05,工商管理,女,73.51,73.08,74.0
29.01,大数据管理,男,73.59,66.03,71.0
25.17,人工智能,女,67.87,79.65,88.0
13.71,大数据管理,男,89.4,90.1,63.0
9.64,电子商务,女,57.97,63.2,62.0
20.95,大数据管理,男,49.15,47.21,74.0
21.68,人工智能,女,82.32,75.5,91.0
24.36,大数据管理,女,70.09,85.88,97.0
28.47,电子商务,女,85.48,77.97,82.0
27.49,财务管理,男,98.44,90.51,71.0
17.41,财务管理,女,70.85,73.84,73.0
29.38,大数据管理,男,56.95,63.5,89.0
26.76,工商管理,男,63.03,67.89,86.0
21.79,财务管理,男,64.75,43.13,75.0
5.0,人工智能,女,71.47,50.29,64.0
9.36,人工智能,女,34.13,46.11,82.0
28.76,工商管理,男,92.71,76.02,79.0
12.43,电子商务,女,76.68,82.97,76.0
13.68,大数据管理,女,92.38,68.63,89.0
13.65,财务管理,女,96.24,76.63,91.0
29.78,电子商务,女,81.27,85.49,97.0
22.31,电子商务,男,75.48,83.77,77.0
16.75,财务管理,女,86.15,64.26,70.0
27.07,大数据管理,女,87.94,93.38,95.0
14.0,工商管理,男,70.24,67.59,92.0
29.26,大数据管理,女,75.62,72.29,95.0
14.32,工商管理,男,62.31,69.75,91.0
10.95,财务管理,女,100.0,82.3,81.0
25.32,人工智能,女,97.94,80.05,70.0
7.42,大数据管理,女,79.97,71.38,86.0
21.23,财务管理,男,100.0,81.87,69.0
21.86,工商管理,男,89.81,81.32,70.0
24.29,大数据管理,女,51.62,63.68,66.0
16.77,人工智能,男,100.0,95.71,70.0
15.0,工商管理,女,64.56,55.83,88.0
27.14,财务管理,女,72.82,89.39,77.0
5.0,财务管理,女,100.0,75.0,77.0
5.0,电子商务,女,84.71,68.54,90.0
15.52,大数据管理,女,62.49,69.56,92.0
24.06,人工智能,女,100.0,87.51,75.0
16.39,财务管理,男,97.73,77.62,80.0
19.44,大数据管理,男,79.71,71.93,87.0
30.44,财务管理,男,68.67,73.51,95.0
17.88,工商管理,女,42.66,53.19,87.0
18.27,人工智能,女,68.79,73.64,60.0
17.03,工商管理,女,77.62,75.21,91.0
24.9,工商管理,男,88.06,72.56,67.0
18.36,大数据管理,男,89.08,88.01,86.0
30.19,大数据管理,女,70.32,75.25,74.0
11.1,工商管理,男,81.55,80.42,81.0
8.38,工商管理,男,58.0,62.53,78.0
19.88,电子商务,男,100.0,75.0,61.0
6.31,工商管理,女,64.85,53.49,79.0
24.09,工商管理,男,86.69,84.65,81.0
18.88,人工智能,女,90.61,84.59,69.0
12.46,电子商务,女,60.81,65.09,93.0
29.16,大数据管理,男,62.44,72.2,98.0
25.09,电子商务,男,96.38,97.72,94.0
14.67,大数据管理,女,53.65,53.45,67.0
11.56,工商管理,男,66.68,68.38,72.0
26.21,电子商务,男,56.73,65.12,72.0
9.72,人工智能,女,76.82,64.18,69.0
28.31,工商管理,女,84.56,90.22,74.0
23.14,大数据管理,男,58.71,72.34,88.0
23.81,电子商务,女,94.01,89.24,85.0
22.22,大数据管理,男,86.3,88.78,65.0
15.09,财务管理,女,64.5,62.43,73.0
25.57,工商管理,男,72.02,77.9,71.0
23.76,工商管理,女,63.86,64.46,63.0
10.48,电子商务,男,69.2,66.4,74.0
15.74,电子商务,女,66.19,59.92,63.0
11.88,财务管理,女,78.35,67.74,70.0
16.51,财务管理,男,76.93,74.99,80.0
8.6,工商管理,男,68.63,53.32,73.0
24.24,人工智能,男,83.98,97.4,92.0
27.11,电子商务,女,47.43,55.7,72.0
26.06,人工智能,女,100.0,76.45,77.0
22.1,电子商务,女,51.72,67.19,61.0
27.53,工商管理,女,61.93,79.06,93.0
32.54,工商管理,男,77.18,83.09,78.0
32.43,大数据管理,女,76.59,81.36,72.0
34.95,大数据管理,男,52.71,68.07,89.0
12.2,大数据管理,男,93.42,70.52,94.0
12.87,大数据管理,男,85.49,73.71,63.0
17.08,大数据管理,女,91.13,78.02,97.0
13.37,电子商务,男,68.21,73.04,83.0
17.27,工商管理,男,67.39,64.97,86.0
18.72,大数据管理,女,69.66,59.34,63.0
13.94,人工智能,女,83.67,72.8,82.0
23.52,工商管理,女,71.69,75.92,78.0
21.14,财务管理,女,89.91,77.22,79.0
32.75,人工智能,男,81.99,76.72,91.0
25.19,电子商务,男,66.51,71.14,70.0
32.82,电子商务,男,83.49,88.15,91.0
22.59,财务管理,男,72.0,65.66,73.0
24.32,工商管理,男,78.49,72.33,74.0
21.27,大数据管理,男,62.29,65.35,64.0
23.7,大数据管理,男,81.98,68.22,77.0
22.8,工商管理,男,70.99,61.07,95.0
29.12,工商管理,男,51.01,59.77,94.0
22.77,财务管理,女,60.77,65.69,78.0
28.74,工商管理,女,68.34,78.51,86.0
5.58,大数据管理,男,69.11,72.01,64.0
7.46,工商管理,男,90.95,80.03,76.0
24.73,电子商务,男,60.04,64.37,70.0
6.59,大数据管理,男,55.6,53.98,79.0
17.54,财务管理,女,69.18,59.17,81.0
17.64,工商管理,女,63.06,62.03,66.0
13.73,人工智能,男,70.14,63.64,83.0
33.33,工商管理,女,52.26,71.54,87.0
18.53,人工智能,女,57.29,54.92,64.0
27.18,电子商务,男,80.26,79.05,63.0
15.38,工商管理,男,70.79,81.16,91.0
15.5,工商管理,女,82.67,74.96,97.0
19.72,电子商务,男,74.53,76.28,81.0
25.96,电子商务,女,30.35,55.35,78.0
10.74,工商管理,女,65.07,58.37,61.0
34.26,电子商务,男,62.24,72.24,78.0
27.97,大数据管理,男,61.19,67.25,72.0
8.45,财务管理,女,78.1,68.34,72.0
36.21,财务管理,男,78.65,76.55,68.0
5.13,工商管理,女,84.95,67.47,65.0
16.96,电子商务,男,75.55,71.58,68.0
24.75,财务管理,男,53.98,72.76,64.0
22.35,电子商务,女,67.05,77.35,68.0
11.72,人工智能,女,83.25,91.47,86.0
11.66,人工智能,女,51.17,46.6,63.0
24.78,人工智能,男,67.63,73.67,63.0
16.71,人工智能,女,91.43,78.9,79.0
9.74,大数据管理,男,82.21,91.51,91.0
9.51,电子商务,女,90.21,65.21,78.0
20.62,工商管理,男,99.98,77.33,64.0
25.35,电子商务,女,42.75,53.58,70.0
28.98,电子商务,男,87.45,65.48,76.0
17.5,人工智能,女,52.84,53.95,60.0
24.14,大数据管理,男,70.86,70.71,93.0
8.58,大数据管理,女,74.19,66.0,83.0
21.91,大数据管理,女,77.53,77.37,69.0
20.23,财务管理,女,87.31,94.78,91.0
16.54,工商管理,女,81.71,80.44,78.0
25.04,电子商务,男,42.29,55.97,83.0
16.68,财务管理,女,76.15,61.26,65.0
11.52,电子商务,女,91.93,84.67,93.0
22.2,大数据管理,男,67.85,61.19,94.0
24.61,人工智能,男,87.32,93.63,70.0
17.08,大数据管理,男,63.43,71.53,66.0
20.9,人工智能,女,74.4,67.79,88.0
28.22,人工智能,男,94.08,76.5,93.0
17.63,大数据管理,女,57.48,71.79,68.0
25.44,财务管理,男,73.28,72.65,90.0
14.66,工商管理,男,72.0,78.36,87.0
24.5,工商管理,女,60.25,57.14,82.0
22.87,大数据管理,女,86.21,79.28,97.0
11.01,财务管理,女,38.19,52.07,96.0
39.09,大数据管理,女,50.48,66.34,64.0
25.65,电子商务,男,87.67,78.78,76.0
22.81,工商管理,女,88.54,85.05,76.0
14.48,人工智能,女,79.59,64.99,97.0
16.46,人工智能,女,81.53,73.31,94.0
15.85,人工智能,女,98.25,86.62,99.0
40.0,财务管理,男,78.71,86.38,89.0
19.71,电子商务,男,100.0,94.95,99.0
15.71,人工智能,女,48.46,46.98,72.0
16.64,工商管理,女,65.97,58.05,99.0
14.13,财务管理,女,100.0,90.51,65.0
23.31,大数据管理,女,70.43,73.09,68.0
12.06,人工智能,男,53.71,50.11,88.0
19.28,工商管理,男,68.67,82.31,88.0
5.0,工商管理,男,77.59,66.79,79.0
17.55,大数据管理,男,67.14,77.32,95.0
21.8,人工智能,男,100.0,81.33,62.0
21.08,人工智能,男,72.19,87.29,84.0
28.84,电子商务,男,71.11,91.05,91.0
18.34,大数据管理,男,81.43,73.12,83.0
15.49,大数据管理,男,95.45,88.53,78.0
17.76,大数据管理,男,77.29,77.58,70.0
18.42,财务管理,男,62.69,78.15,89.0
12.54,人工智能,女,68.04,57.72,80.0
30.51,电子商务,男,82.71,86.64,94.0
30.24,人工智能,男,81.39,87.85,66.0
22.47,工商管理,男,55.67,48.68,63.0
26.24,工商管理,女,99.82,82.74,99.0
23.09,电子商务,女,40.11,37.5,65.0
31.85,人工智能,女,80.33,77.46,81.0
32.19,大数据管理,女,79.47,83.84,62.0
11.34,工商管理,女,67.68,77.09,68.0
32.8,财务管理,男,75.54,78.29,82.0
19.09,电子商务,女,73.91,86.71,91.0
24.29,财务管理,女,89.72,73.72,88.0
22.91,人工智能,男,69.23,59.44,96.0
7.47,人工智能,女,84.03,69.66,80.0
18.7,工商管理,男,64.0,68.78,89.0
20.32,财务管理,女,73.57,72.7,94.0
27.17,人工智能,女,63.06,56.82,85.0
14.74,电子商务,女,81.16,71.78,84.0
22.93,大数据管理,女,72.4,60.68,79.0
29.09,财务管理,男,87.61,83.77,61.0
8.27,大数据管理,男,82.42,72.45,61.0
23.45,大数据管理,女,89.86,75.03,80.0
18.18,电子商务,男,52.26,51.71,63.0
6.8,工商管理,女,52.48,45.38,94.0
23.37,大数据管理,女,89.71,82.05,92.0
23.67,大数据管理,女,76.63,84.37,95.0
27.71,财务管理,女,88.83,78.79,88.0
24.72,人工智能,女,73.35,74.99,73.0
31.3,财务管理,男,61.55,67.48,83.0
15.73,财务管理,女,50.09,51.94,93.0
24.2,财务管理,女,78.81,76.58,92.0
25.22,人工智能,男,97.07,77.4,61.0
30.55,人工智能,男,66.26,71.53,85.0
17.31,财务管理,男,43.95,48.33,93.0
26.25,人工智能,女,80.34,95.15,99.0
16.31,大数据管理,男,80.37,74.31,91.0
28.44,财务管理,男,53.96,61.25,79.0
18.78,电子商务,男,71.58,72.14,80.0
14.73,工商管理,男,60.0,59.78,83.0
13.09,大数据管理,男,75.79,66.45,80.0
8.92,大数据管理,男,89.53,80.58,81.0
8.1,财务管理,女,58.66,63.3,76.0
25.01,大数据管理,女,94.82,83.65,88.0
7.4,人工智能,男,73.41,55.99,67.0
28.81,工商管理,女,75.24,71.23,67.0
21.79,人工智能,男,81.98,56.98,74.0
9.04,大数据管理,男,72.87,51.16,78.0
12.21,电子商务,男,94.71,90.34,72.0
21.06,人工智能,男,65.13,79.54,73.0
14.11,电子商务,男,80.91,71.01,72.0
15.94,人工智能,男,69.72,69.88,76.0
6.1,大数据管理,女,92.55,77.6,76.0
22.72,大数据管理,男,58.36,83.36,80.0
26.08,电子商务,女,90.48,91.18,80.0
21.01,工商管理,女,67.15,68.37,97.0
17.87,人工智能,女,79.67,65.33,89.0
20.12,人工智能,女,82.87,63.69,82.0
18.1,工商管理,女,71.87,67.98,70.0
34.84,大数据管理,女,63.67,66.29,70.0
27.09,财务管理,男,80.92,68.71,95.0
13.38,财务管理,女,60.69,51.62,64.0
14.36,人工智能,女,94.57,69.78,88.0
26.04,财务管理,女,55.92,78.45,76.0
20.5,电子商务,男,86.15,85.49,73.0
14.25,人工智能,男,82.04,73.4,94.0
22.02,财务管理,男,74.02,85.48,89.0
10.58,大数据管理,女,99.65,82.38,78.0
10.66,电子商务,女,78.56,59.74,72.0
20.42,财务管理,男,85.2,90.91,90.0
24.52,人工智能,男,72.31,73.39,68.0
32.19,电子商务,女,65.96,67.82,81.0
29.12,工商管理,女,74.78,75.81,71.0
12.93,人工智能,男,78.64,61.43,81.0
20.17,工商管理,男,84.09,65.57,69.0
7.72,工商管理,男,83.09,74.29,60.0
22.71,大数据管理,女,76.97,93.18,98.0
13.64,人工智能,女,61.48,49.59,72.0
14.36,电子商务,男,55.76,61.61,62.0
16.05,工商管理,男,90.95,70.42,65.0
27.54,财务管理,男,100.0,83.15,75.0
17.59,电子商务,男,55.88,52.56,68.0
5.58,大数据管理,女,43.88,40.83,86.0
32.9,财务管理,男,69.93,74.65,63.0
27.64,工商管理,男,100.0,83.59,73.0
29.24,人工智能,女,81.87,81.16,84.0
17.93,人工智能,女,91.81,81.82,91.0
11.17,财务管理,女,76.74,70.58,100.0
18.16,人工智能,女,100.0,75.0,71.0
24.72,大数据管理,男,91.7,79.63,87.0
28.53,财务管理,女,59.22,77.32,91.0
14.32,大数据管理,男,58.42,67.27,92.0
22.43,大数据管理,男,75.06,67.26,89.0
14.6,电子商务,女,78.59,75.37,90.0
17.6,财务管理,男,52.56,63.46,72.0
15.62,大数据管理,女,86.79,62.39,71.0
20.27,财务管理,女,84.37,78.28,61.0
27.99,财务管理,男,55.46,59.33,70.0
12.56,大数据管理,男,70.66,69.26,62.0
23.79,工商管理,男,91.18,77.4,87.0
11.03,工商管理,男,81.65,59.86,98.0
16.44,财务管理,男,94.4,69.4,80.0
31.54,工商管理,女,100.0,91.64,98.0
25.87,工商管理,女,98.11,89.42,79.0
24.29,工商管理,男,62.7,60.3,67.0
5.82,大数据管理,男,61.88,61.76,68.0
31.32,电子商务,女,81.01,67.07,68.0
5.18,工商管理,女,60.68,53.08,60.0
21.03,大数据管理,女,81.7,65.02,78.0
31.53,电子商务,男,86.67,81.51,95.0
14.51,工商管理,男,81.64,72.61,69.0
5.0,电子商务,男,87.31,62.31,71.0
5.0,工商管理,男,83.2,64.99,79.0
22.21,大数据管理,男,75.23,83.67,83.0
13.93,人工智能,女,54.56,51.8,79.0
17.55,工商管理,女,71.47,72.62,62.0
18.14,大数据管理,男,79.36,63.48,62.0
14.42,财务管理,女,79.61,81.35,99.0
18.49,电子商务,男,63.53,79.52,82.0
19.96,电子商务,女,97.52,72.52,60.0
29.22,大数据管理,女,87.24,78.56,85.0
18.03,人工智能,女,72.96,75.93,83.0
7.01,工商管理,女,100.0,78.7,91.0
6.8,大数据管理,女,71.03,71.18,93.0
13.07,工商管理,女,68.51,60.05,87.0
14.22,电子商务,男,79.01,71.4,61.0
21.18,人工智能,女,94.2,80.83,90.0
17.82,电子商务,男,75.39,81.0,84.0
16.67,电子商务,女,70.78,74.53,93.0
28.76,人工智能,男,83.6,86.05,92.0
5.0,大数据管理,女,79.01,60.66,71.0
19.83,人工智能,男,100.0,78.41,69.0
18.19,人工智能,女,78.84,72.03,97.0
28.35,工商管理,男,57.62,73.65,100.0
30.03,电子商务,女,92.43,84.23,98.0
31.68,工商管理,女,100.0,91.14,84.0
31.74,大数据管理,男,71.4,91.98,91.0
23.58,大数据管理,女,76.93,80.74,72.0
26.21,大数据管理,男,100.0,83.73,72.0
30.46,人工智能,女,63.14,81.38,79.0
29.24,工商管理,男,56.98,65.17,90.0
27.07,工商管理,男,59.33,53.42,84.0
17.98,财务管理,男,83.32,65.71,60.0
26.36,财务管理,女,79.91,60.66,67.0
27.11,电子商务,男,60.38,68.11,90.0
34.51,财务管理,女,65.67,75.22,91.0
32.48,大数据管理,男,52.88,77.88,84.0
14.2,大数据管理,男,82.7,75.05,74.0
20.91,人工智能,女,94.92,79.7,85.0
26.49,工商管理,女,48.77,67.8,79.0
15.24,大数据管理,女,82.79,57.79,65.0
28.34,财务管理,女,84.13,83.29,90.0
30.28,人工智能,男,76.82,83.51,88.0
6.38,财务管理,男,62.01,43.84,83.0
24.53,大数据管理,男,84.98,84.98,62.0
16.5,财务管理,男,83.01,78.84,90.0
22.12,电子商务,女,84.82,74.54,78.0
20.11,电子商务,女,81.93,78.29,70.0
18.52,大数据管理,女,86.65,96.66,74.0
25.76,人工智能,女,78.31,74.08,61.0
21.16,工商管理,女,58.51,68.33,95.0
28.83,工商管理,女,64.4,70.02,85.0
26.59,大数据管理,女,92.05,74.54,67.0
7.99,电子商务,男,78.62,75.72,91.0
16.88,工商管理,男,89.45,69.6,75.0
21.9,工商管理,女,85.95,77.54,69.0
17.13,财务管理,女,69.62,66.2,86.0
8.81,大数据管理,女,89.37,75.08,72.0
36.09,工商管理,男,49.08,68.59,79.0
18.46,工商管理,男,72.29,82.04,98.0
25.09,人工智能,男,86.93,75.24,78.0
23.02,工商管理,女,65.89,70.12,91.0
26.89,财务管理,男,48.85,56.94,92.0
14.06,工商管理,女,59.87,55.77,73.0
